,,dynamicHyperparameters,,,,,,,,staticHyperparameters,,,,,,,,,,,,,otherHyperparameters,,pretrainingResults,,,,adversarialResults_final,,,,,adversarialResults _peak,,,,adversarialTime,,insights,
,10,0.000013,0.251,384,100,4,4,0.115,128,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,11,0.00001,0.201,128,100,4,12,0.079,32,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,12,0.000094,0.717,256,150,4,12,0.066,64,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,13,0.00002,0.528,256,200,3,4,0.192,32,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,14,0.000029,0.331,128,100,6,4,0.079,64,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,15,0.000035,0.629,128,150,3,8,0.075,32,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,16,0.000065,0.744,96,80,3,8,0.116,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,17,0.000015,0.389,128,100,4,8,0.189,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,18,0.00017,0.719,96,80,3,8,0.151,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,19,0.000047,0.76,96,80,3,8,0.131,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,20,0.000065,0.278,160,100,4,10,0.055,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,21,0.000045,0.734,128,120,5,4,0.23,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,22,0.00001,0.35,160,120,4,4,0.067,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,23,0.000055,0.451,160,100,5,4,0.186,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,24,0.000164,0.427,96,120,3,10,0.156,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,25,0.000034,0.316,96,100,5,4,0.177,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,26,0.000234,0.314,128,100,3,8,0.112,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,27,0.000087,0.21,128,120,4,10,0.238,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,28,0.000105,0.315,128,100,4,10,0.091,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,29,0.000043,0.362,128,120,3,10,0.237,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,30,0.000102,0.204,128,80,3,10,0.203,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,31,0.000071,0.266,128,120,5,4,0.179,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,32,0.000012,0.618,96,100,4,8,0.213,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,33,0.000013,0.544,96,120,4,10,0.109,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,34,0.000103,0.374,160,80,4,8,0.209,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,35,0.000043,0.709,128,80,3,10,0.104,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,36,0.000032,0.693,128,100,5,4,0.09,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,37,0.000046,0.768,160,80,3,4,0.166,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,38,0.000032,0.298,160,120,5,10,0.147,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,39,0.000244,0.245,160,100,3,10,0.16,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,40,0.000011,0.488,160,80,3,4,0.108,64,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,41,0.000128,0.668,96,120,3,4,0.099,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,42,0.000023,0.749,96,100,3,4,0.068,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,43,0.000019,0.24,96,120,3,10,0.206,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,44,0.000053,0.455,128,80,3,8,0.077,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,45,0.000044,0.704,96,120,3,4,0.144,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,46,0.000059,0.49,128,120,3,10,0.128,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,47,0.000186,0.272,160,80,3,4,0.153,128,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,48,0.00002,0.551,160,120,5,10,0.21,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,49,0.00018,0.54,96,100,3,8,0.072,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
,50,0.000017,0.642,96,100,5,8,0.225,32,comb_1,synthesizability,80,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,,,,,,,,,,,,,,,,,
